Codigo,Data_Inicio,Data_Fim,Ato_Legal,Numero,Ano,IBS,CBS
3019999,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
302,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3021,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3021100,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3021300,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3021400,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3021900,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3022,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3022100,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3022200,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3022300,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3022400,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3022900,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3023,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3023100,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3023200,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3023300,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3023400,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3023500,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3023600,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3023900,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3024,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3024100,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
30242,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3024210,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3024290,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3024300,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3024400,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3024500,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3024600,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3024700,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
30249,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3024910,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3024990,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3025,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3025100,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3025200,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3025300,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3025400,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3025500,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3025600,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3025900,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3027,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3027100,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
30272,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3027210,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3027290,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3027300,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3027400,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3027900,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3028,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3028100,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3028200,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
30283,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3028310,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3028320,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3028400,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3028500,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
30289,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3028910,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
302892,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3028921,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3028922,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3028923,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3028924,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
302893,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
